per, mean, median, 10th, 90th
2.0, -134.61, -135.0, -138.0, -134.0
2.18, -140.27, -141.0, -143.0, -139.0
2.38, -145.77, -146.0, -150.0, -143.0
2.59, -144.28, -145.0, -149.0, -142.0
2.83, -142.69, -143.0, -147.0, -140.0
3.08, -140.87, -141.0, -145.0, -138.0
3.36, -138.88, -139.0, -143.0, -136.0
3.67, -136.69, -137.0, -141.0, -133.0
4.0, -134.69, -135.0, -140.0, -131.0
4.36, -133.55, -134.0, -139.0, -129.0
4.76, -132.96, -133.0, -140.0, -127.0
5.19, -132.7, -133.0, -141.0, -126.0
5.66, -132.32, -132.0, -142.0, -125.0
6.17, -131.88, -132.0, -141.0, -124.0
6.73, -131.88, -132.0, -141.0, -124.0
7.34, -132.72, -133.0, -141.0, -125.0
8.0, -135.08, -135.0, -144.0, -127.0
8.72, -140.01, -141.0, -150.0, -131.0
9.51, -146.1, -148.0, -156.0, -137.0
10.37, -150.85, -152.0, -159.0, -143.0
11.31, -152.71, -154.0, -161.0, -146.0
12.34, -152.81, -154.0, -161.0, -147.0
13.45, -152.06, -154.0, -160.0, -146.0
14.67, -151.48, -154.0, -159.0, -145.0
16.0, -151.7, -154.0, -159.0, -144.0
17.45, -153.35, -156.0, -161.0, -144.0
19.03, -156.01, -159.0, -165.0, -145.0
20.75, -159.54, -163.0, -169.0, -147.0
22.63, -162.91, -167.0, -173.0, -149.0
24.68, -165.43, -170.0, -176.0, -151.0
26.91, -167.59, -173.0, -178.0, -152.0
29.34, -169.03, -174.0, -179.0, -154.0
32.0, -170.35, -176.0, -180.0, -155.0
34.9, -171.46, -177.0, -180.0, -157.0
38.05, -172.3, -177.0, -181.0, -158.0
41.5, -173.33, -178.0, -182.0, -160.0
45.25, -173.92, -179.0, -182.0, -161.0
49.35, -174.36, -179.0, -182.0, -162.0
53.82, -174.96, -179.0, -182.0, -164.0
58.69, -175.18, -179.0, -182.0, -165.0
64.0, -175.14, -179.0, -182.0, -165.0
69.79, -174.76, -178.0, -181.0, -166.0
76.11, -174.47, -178.0, -180.0, -167.0
83.0, -174.24, -177.0, -180.0, -167.0
90.51, -174.04, -177.0, -179.0, -168.0
98.7, -173.73, -176.0, -179.0, -169.0
107.63, -173.44, -176.0, -178.0, -169.0
117.38, -173.4, -176.0, -178.0, -169.0
128.0, -173.44, -176.0, -179.0, -169.0
139.58, -173.53, -176.0, -179.0, -169.0
152.22, -173.53, -176.0, -179.0, -169.0
166.0, -173.35, -175.0, -179.0, -169.0
181.02, -173.35, -175.0, -179.0, -169.0
197.4, -172.91, -175.0, -179.0, -168.0
215.27, -172.91, -175.0, -179.0, -168.0
234.75, -171.88, -174.0, -179.0, -167.0
256.0, -171.88, -174.0, -179.0, -167.0
279.17, -50.5, -51.0, -51.0, -51.0
304.44, -50.5, -51.0, -51.0, -51.0
331.99, -169.69, -171.0, -178.0, -164.0
362.04, -169.69, -171.0, -178.0, -164.0
394.81, -50.5, -51.0, -51.0, -51.0
430.54, -50.5, -51.0, -51.0, -51.0
469.51, -166.02, -167.0, -174.0, -160.0
512.0, -166.02, -167.0, -174.0, -160.0
558.34, -50.5, -51.0, -51.0, -51.0
608.87, -50.5, -51.0, -51.0, -51.0
663.98, -50.5, -51.0, -51.0, -51.0
724.08, -50.5, -51.0, -51.0, -51.0
789.61, -50.5, -51.0, -51.0, -51.0
861.08, -50.5, -51.0, -51.0, -51.0
939.01, -160.9, -162.0, -168.0, -156.0
1024.0, -160.9, -162.0, -168.0, -156.0
