per, mean, median, 10th, 90th
2.0, -133.46, -134.0, -136.0, -133.0
2.18, -139.14, -140.0, -142.0, -139.0
2.38, -144.41, -145.0, -148.0, -143.0
2.59, -142.23, -143.0, -145.0, -141.0
2.83, -139.95, -141.0, -143.0, -138.0
3.08, -137.93, -139.0, -141.0, -136.0
3.36, -135.85, -137.0, -139.0, -134.0
3.67, -133.97, -135.0, -137.0, -132.0
4.0, -132.4, -133.0, -136.0, -129.0
4.36, -130.91, -132.0, -136.0, -127.0
4.76, -129.65, -130.0, -135.0, -125.0
5.19, -129.15, -130.0, -136.0, -123.0
5.66, -129.25, -130.0, -138.0, -122.0
6.17, -129.14, -129.0, -138.0, -122.0
6.73, -129.09, -129.0, -138.0, -122.0
7.34, -129.92, -131.0, -138.0, -123.0
8.0, -132.35, -133.0, -141.0, -125.0
8.72, -137.55, -139.0, -147.0, -129.0
9.51, -143.82, -146.0, -153.0, -135.0
10.37, -149.32, -151.0, -158.0, -141.0
11.31, -152.07, -154.0, -160.0, -146.0
12.34, -152.26, -154.0, -160.0, -146.0
13.45, -151.46, -154.0, -159.0, -145.0
14.67, -150.87, -153.0, -158.0, -144.0
16.0, -150.98, -154.0, -158.0, -143.0
17.45, -152.65, -156.0, -161.0, -143.0
19.03, -155.31, -159.0, -164.0, -144.0
20.75, -158.89, -163.0, -169.0, -146.0
22.63, -162.27, -167.0, -173.0, -147.0
24.68, -164.85, -170.0, -176.0, -149.0
26.91, -167.26, -172.0, -178.0, -151.0
29.34, -169.08, -174.0, -179.0, -154.0
32.0, -170.86, -176.0, -181.0, -156.0
34.9, -172.36, -178.0, -182.0, -158.0
38.05, -173.29, -178.0, -182.0, -159.0
41.5, -174.4, -179.0, -183.0, -161.0
45.25, -175.23, -180.0, -183.0, -163.0
49.35, -175.77, -180.0, -183.0, -164.0
53.82, -176.23, -181.0, -183.0, -165.0
58.69, -176.48, -181.0, -183.0, -166.0
64.0, -176.66, -181.0, -183.0, -167.0
69.79, -176.7, -180.0, -183.0, -169.0
76.11, -176.63, -180.0, -182.0, -169.0
83.0, -176.48, -180.0, -182.0, -170.0
90.51, -176.34, -179.0, -182.0, -170.0
98.7, -176.25, -179.0, -181.0, -171.0
107.63, -176.26, -179.0, -181.0, -172.0
117.38, -176.36, -179.0, -181.0, -172.0
128.0, -176.43, -179.0, -182.0, -172.0
139.58, -176.71, -179.0, -182.0, -173.0
152.22, -176.71, -179.0, -182.0, -173.0
166.0, -177.01, -179.0, -182.0, -173.0
181.02, -177.01, -179.0, -182.0, -173.0
197.4, -177.32, -180.0, -183.0, -173.0
215.27, -177.32, -180.0, -183.0, -173.0
234.75, -177.37, -180.0, -183.0, -173.0
256.0, -177.37, -180.0, -183.0, -173.0
279.17, -50.5, -51.0, -51.0, -51.0
304.44, -50.5, -51.0, -51.0, -51.0
331.99, -176.89, -179.0, -183.0, -172.0
362.04, -176.89, -179.0, -183.0, -172.0
394.81, -50.5, -51.0, -51.0, -51.0
430.54, -50.5, -51.0, -51.0, -51.0
469.51, -174.64, -176.0, -181.0, -169.0
512.0, -174.64, -176.0, -181.0, -169.0
558.34, -50.5, -51.0, -51.0, -51.0
608.87, -50.5, -51.0, -51.0, -51.0
663.98, -50.5, -51.0, -51.0, -51.0
724.08, -50.5, -51.0, -51.0, -51.0
789.61, -50.5, -51.0, -51.0, -51.0
861.08, -50.5, -51.0, -51.0, -51.0
939.01, -168.35, -170.0, -176.0, -161.0
1024.0, -168.35, -170.0, -176.0, -161.0
