per, mean, median, 10th, 90th
2.0, -134.1, -134.0, -138.0, -133.0
2.18, -138.6, -139.0, -142.0, -137.0
2.38, -142.74, -143.0, -147.0, -140.0
2.59, -141.53, -142.0, -146.0, -138.0
2.83, -140.4, -141.0, -145.0, -137.0
3.08, -138.64, -139.0, -144.0, -135.0
3.36, -136.84, -137.0, -142.0, -133.0
3.67, -135.19, -136.0, -140.0, -131.0
4.0, -133.58, -134.0, -139.0, -129.0
4.36, -132.68, -133.0, -139.0, -127.0
4.76, -132.54, -133.0, -140.0, -126.0
5.19, -132.64, -133.0, -141.0, -126.0
5.66, -132.62, -133.0, -142.0, -125.0
6.17, -132.5, -132.0, -142.0, -125.0
6.73, -132.63, -133.0, -142.0, -125.0
7.34, -133.29, -134.0, -142.0, -126.0
8.0, -135.61, -136.0, -145.0, -128.0
8.72, -140.7, -142.0, -150.0, -133.0
9.51, -146.26, -148.0, -155.0, -138.0
10.37, -150.29, -152.0, -159.0, -143.0
11.31, -152.11, -153.0, -160.0, -146.0
12.34, -152.18, -154.0, -161.0, -145.0
13.45, -151.58, -153.0, -160.0, -145.0
14.67, -151.73, -154.0, -159.0, -145.0
16.0, -152.57, -155.0, -160.0, -145.0
17.45, -154.58, -157.0, -163.0, -146.0
19.03, -157.4, -160.0, -166.0, -147.0
20.75, -160.86, -164.0, -171.0, -149.0
22.63, -164.14, -168.0, -174.0, -150.0
24.68, -166.71, -171.0, -177.0, -152.0
26.91, -168.99, -174.0, -179.0, -154.0
29.34, -170.3, -175.0, -180.0, -156.0
32.0, -171.39, -176.0, -181.0, -157.0
34.9, -172.35, -177.0, -181.0, -159.0
38.05, -173.05, -178.0, -182.0, -160.0
41.5, -173.87, -178.0, -182.0, -161.0
45.25, -174.36, -179.0, -182.0, -162.0
49.35, -174.76, -179.0, -183.0, -163.0
53.82, -175.33, -179.0, -183.0, -164.0
58.69, -175.52, -179.0, -182.0, -165.0
64.0, -175.47, -179.0, -182.0, -166.0
69.79, -175.13, -179.0, -181.0, -167.0
76.11, -174.85, -178.0, -181.0, -167.0
83.0, -174.53, -178.0, -180.0, -168.0
90.51, -174.22, -177.0, -180.0, -169.0
98.7, -173.88, -177.0, -179.0, -169.0
107.63, -173.64, -176.0, -179.0, -169.0
117.38, -173.56, -176.0, -179.0, -170.0
128.0, -173.55, -176.0, -179.0, -170.0
139.58, -173.65, -176.0, -179.0, -170.0
152.22, -173.65, -176.0, -179.0, -170.0
166.0, -173.55, -176.0, -179.0, -170.0
181.02, -173.55, -176.0, -179.0, -170.0
197.4, -173.31, -175.0, -179.0, -169.0
215.27, -173.31, -175.0, -179.0, -169.0
234.75, -172.4, -174.0, -179.0, -167.0
256.0, -172.4, -174.0, -179.0, -167.0
279.17, -50.5, -51.0, -51.0, -51.0
304.44, -50.5, -51.0, -51.0, -51.0
331.99, -170.44, -172.0, -178.0, -165.0
362.04, -170.44, -172.0, -178.0, -165.0
394.81, -50.5, -51.0, -51.0, -51.0
430.54, -50.5, -51.0, -51.0, -51.0
469.51, -166.98, -168.0, -174.0, -161.0
512.0, -166.98, -168.0, -174.0, -161.0
558.34, -50.5, -51.0, -51.0, -51.0
608.87, -50.5, -51.0, -51.0, -51.0
663.98, -50.5, -51.0, -51.0, -51.0
724.08, -50.5, -51.0, -51.0, -51.0
789.61, -50.5, -51.0, -51.0, -51.0
861.08, -50.5, -51.0, -51.0, -51.0
939.01, -161.98, -163.0, -168.0, -158.0
1024.0, -161.98, -163.0, -168.0, -158.0
