per, mean, median, 10th, 90th
0.02, -102.86, -102.0, -105.0, -94.0
0.02, -107.97, -107.0, -111.0, -98.0
0.02, -113.48, -113.0, -118.0, -102.0
0.03, -113.34, -113.0, -118.0, -102.0
0.03, -113.26, -113.0, -117.0, -102.0
0.03, -113.5, -113.0, -118.0, -102.0
0.03, -113.38, -112.0, -119.0, -102.0
0.04, -112.85, -112.0, -118.0, -102.0
0.04, -112.37, -111.0, -118.0, -103.0
0.04, -111.43, -109.0, -117.0, -102.0
0.05, -110.63, -108.0, -117.0, -102.0
0.05, -110.69, -108.0, -117.0, -102.0
0.06, -110.94, -108.0, -118.0, -101.0
0.06, -110.79, -108.0, -118.0, -101.0
0.07, -110.62, -108.0, -116.0, -102.0
0.07, -111.94, -110.0, -117.0, -104.0
0.08, -113.95, -112.0, -119.0, -106.0
0.09, -115.06, -113.0, -119.0, -108.0
0.1, -116.25, -114.0, -120.0, -110.0
0.1, -117.55, -115.0, -122.0, -111.0
0.11, -118.33, -116.0, -123.0, -112.0
0.12, -118.24, -116.0, -123.0, -112.0
0.13, -118.14, -116.0, -123.0, -111.0
0.15, -118.41, -116.0, -125.0, -110.0
0.16, -118.21, -116.0, -126.0, -109.0
0.17, -117.99, -115.0, -126.0, -108.0
0.19, -118.57, -116.0, -126.0, -109.0
0.21, -119.68, -117.0, -127.0, -111.0
0.23, -120.72, -118.0, -127.0, -113.0
0.25, -121.32, -119.0, -127.0, -115.0
0.27, -121.44, -119.0, -126.0, -115.0
0.29, -122.39, -120.0, -126.0, -116.0
0.32, -124.75, -123.0, -130.0, -119.0
0.35, -126.56, -124.0, -132.0, -120.0
0.38, -127.32, -125.0, -133.0, -121.0
0.41, -128.81, -127.0, -134.0, -123.0
0.45, -131.32, -130.0, -136.0, -126.0
0.49, -133.44, -132.0, -137.0, -128.0
0.54, -134.94, -134.0, -139.0, -130.0
0.59, -135.75, -134.0, -140.0, -131.0
0.64, -136.33, -135.0, -140.0, -131.0
0.7, -137.38, -136.0, -141.0, -132.0
0.76, -138.75, -138.0, -143.0, -134.0
0.83, -139.94, -139.0, -144.0, -134.0
0.91, -141.03, -140.0, -145.0, -135.0
0.99, -142.07, -142.0, -146.0, -136.0
1.08, -142.76, -143.0, -146.0, -137.0
1.17, -142.69, -143.0, -146.0, -137.0
1.28, -141.76, -141.0, -145.0, -137.0
1.4, -140.39, -140.0, -143.0, -136.0
1.52, -139.18, -138.0, -142.0, -135.0
1.66, -138.23, -137.0, -141.0, -133.0
