per, mean, median, 10th, 90th
2.0, -133.63, -134.0, -136.0, -133.0
2.18, -138.75, -139.0, -143.0, -137.0
2.38, -143.59, -144.0, -149.0, -140.0
2.59, -142.27, -143.0, -148.0, -139.0
2.83, -140.97, -142.0, -146.0, -137.0
3.08, -139.21, -140.0, -145.0, -135.0
3.36, -137.34, -138.0, -143.0, -134.0
3.67, -135.5, -136.0, -141.0, -132.0
4.0, -133.81, -134.0, -139.0, -130.0
4.36, -132.82, -133.0, -139.0, -128.0
4.76, -132.5, -133.0, -140.0, -127.0
5.19, -132.44, -133.0, -141.0, -126.0
5.66, -132.26, -132.0, -142.0, -125.0
6.17, -132.01, -132.0, -142.0, -125.0
6.73, -132.1, -132.0, -141.0, -125.0
7.34, -132.84, -134.0, -141.0, -126.0
8.0, -135.22, -136.0, -144.0, -128.0
8.72, -140.37, -141.0, -150.0, -132.0
9.51, -146.18, -148.0, -156.0, -137.0
10.37, -150.44, -152.0, -159.0, -143.0
11.31, -152.23, -154.0, -161.0, -146.0
12.34, -152.32, -154.0, -161.0, -146.0
13.45, -151.66, -153.0, -160.0, -145.0
14.67, -151.54, -154.0, -159.0, -145.0
16.0, -152.15, -155.0, -160.0, -145.0
17.45, -154.07, -157.0, -162.0, -145.0
19.03, -156.85, -160.0, -166.0, -146.0
20.75, -160.35, -164.0, -170.0, -148.0
22.63, -163.69, -168.0, -174.0, -150.0
24.68, -166.24, -171.0, -176.0, -152.0
26.91, -168.42, -173.0, -178.0, -154.0
29.34, -169.66, -174.0, -179.0, -155.0
32.0, -170.68, -175.0, -180.0, -156.0
34.9, -171.49, -176.0, -180.0, -158.0
38.05, -172.07, -177.0, -181.0, -159.0
41.5, -172.69, -177.0, -181.0, -160.0
45.25, -172.93, -177.0, -181.0, -161.0
49.35, -173.09, -177.0, -181.0, -162.0
53.82, -173.21, -177.0, -181.0, -163.0
58.69, -173.02, -176.0, -181.0, -164.0
64.0, -172.69, -176.0, -181.0, -164.0
69.79, -172.1, -175.0, -180.0, -164.0
76.11, -171.52, -174.0, -179.0, -164.0
83.0, -170.95, -173.0, -179.0, -164.0
90.51, -170.36, -173.0, -178.0, -163.0
98.7, -169.54, -172.0, -178.0, -162.0
107.63, -168.57, -170.0, -177.0, -161.0
117.38, -167.73, -169.0, -177.0, -159.0
128.0, -167.38, -169.0, -177.0, -158.0
139.58, -167.41, -169.0, -177.0, -157.0
152.22, -167.41, -169.0, -177.0, -157.0
166.0, -166.77, -168.0, -178.0, -156.0
181.02, -166.77, -168.0, -178.0, -156.0
197.4, -165.16, -167.0, -178.0, -152.0
215.27, -165.16, -167.0, -178.0, -152.0
234.75, -164.43, -166.0, -177.0, -153.0
256.0, -164.43, -166.0, -177.0, -153.0
279.17, -50.5, -51.0, -51.0, -51.0
304.44, -50.5, -51.0, -51.0, -51.0
331.99, -162.23, -164.0, -175.0, -148.0
362.04, -162.23, -164.0, -175.0, -148.0
394.81, -50.5, -51.0, -51.0, -51.0
430.54, -50.5, -51.0, -51.0, -51.0
469.51, -158.83, -162.0, -171.0, -145.0
512.0, -158.83, -162.0, -171.0, -145.0
558.34, -50.5, -51.0, -51.0, -51.0
608.87, -50.5, -51.0, -51.0, -51.0
663.98, -50.5, -51.0, -51.0, -51.0
724.08, -50.5, -51.0, -51.0, -51.0
789.61, -50.5, -51.0, -51.0, -51.0
861.08, -50.5, -51.0, -51.0, -51.0
939.01, -154.27, -157.0, -165.0, -144.0
1024.0, -154.27, -157.0, -165.0, -144.0
