per, mean, median, 10th, 90th
2.0, -121.95, -122.0, -124.0, -120.0
2.18, -127.14, -127.0, -130.0, -124.0
2.38, -132.3, -131.0, -136.0, -127.0
2.59, -131.13, -130.0, -135.0, -126.0
2.83, -129.74, -129.0, -134.0, -124.0
3.08, -128.35, -127.0, -132.0, -122.0
3.36, -127.23, -126.0, -132.0, -121.0
3.67, -126.27, -125.0, -131.0, -119.0
4.0, -125.38, -124.0, -131.0, -117.0
4.36, -124.72, -123.0, -131.0, -116.0
4.76, -124.8, -123.0, -133.0, -115.0
5.19, -125.7, -124.0, -135.0, -114.0
5.66, -127.09, -126.0, -138.0, -115.0
6.17, -128.56, -127.0, -139.0, -116.0
6.73, -130.04, -129.0, -139.0, -118.0
7.34, -131.63, -131.0, -140.0, -121.0
8.0, -134.34, -134.0, -143.0, -124.0
8.72, -138.38, -138.0, -147.0, -128.0
9.51, -142.12, -143.0, -151.0, -132.0
10.37, -144.6, -145.0, -153.0, -134.0
11.31, -145.23, -146.0, -154.0, -134.0
12.34, -145.1, -146.0, -155.0, -134.0
13.45, -144.85, -146.0, -155.0, -133.0
14.67, -144.6, -146.0, -154.0, -133.0
16.0, -144.45, -146.0, -155.0, -132.0
17.45, -144.58, -146.0, -155.0, -132.0
19.03, -144.82, -146.0, -156.0, -132.0
20.75, -144.96, -146.0, -157.0, -132.0
22.63, -144.93, -146.0, -157.0, -132.0
24.68, -144.75, -145.0, -157.0, -131.0
26.91, -144.41, -145.0, -157.0, -131.0
29.34, -144.07, -145.0, -156.0, -131.0
32.0, -143.67, -144.0, -156.0, -131.0
34.9, -143.2, -144.0, -155.0, -130.0
38.05, -142.81, -144.0, -155.0, -130.0
41.5, -142.24, -143.0, -154.0, -129.0
45.25, -141.72, -143.0, -153.0, -128.0
49.35, -141.27, -142.0, -153.0, -128.0
53.82, -140.61, -142.0, -152.0, -127.0
58.69, -140.03, -141.0, -151.0, -126.0
64.0, -139.4, -140.0, -151.0, -125.0
69.79, -138.68, -140.0, -150.0, -124.0
76.11, -138.15, -139.0, -150.0, -123.0
83.0, -137.56, -139.0, -149.0, -122.0
90.51, -136.92, -138.0, -149.0, -121.0
98.7, -136.21, -137.0, -148.0, -120.0
107.63, -135.41, -137.0, -147.0, -119.0
117.38, -134.5, -136.0, -146.0, -118.0
128.0, -134.03, -135.0, -146.0, -117.0
139.58, -132.88, -134.0, -145.0, -115.0
152.22, -132.88, -134.0, -145.0, -115.0
166.0, -131.46, -133.0, -144.0, -113.0
181.02, -131.46, -133.0, -144.0, -113.0
197.4, -129.74, -131.0, -142.0, -111.0
215.27, -129.74, -131.0, -142.0, -111.0
234.75, -127.59, -129.0, -140.0, -109.0
256.0, -127.59, -129.0, -140.0, -109.0
279.17, -50.5, -51.0, -51.0, -51.0
304.44, -50.5, -51.0, -51.0, -51.0
331.99, -124.77, -127.0, -137.0, -105.0
362.04, -124.77, -127.0, -137.0, -105.0
394.81, -50.5, -51.0, -51.0, -51.0
430.54, -50.5, -51.0, -51.0, -51.0
469.51, -120.89, -123.0, -134.0, -101.0
512.0, -120.89, -123.0, -134.0, -101.0
558.34, -50.5, -51.0, -51.0, -51.0
608.87, -50.5, -51.0, -51.0, -51.0
663.98, -50.5, -51.0, -51.0, -51.0
724.08, -50.5, -51.0, -51.0, -51.0
789.61, -50.5, -51.0, -51.0, -51.0
861.08, -50.5, -51.0, -51.0, -51.0
939.01, -115.24, -117.0, -128.0, -93.0
1024.0, -115.24, -117.0, -128.0, -93.0
